Date,Store,Category,Expense,Income,Account,Notes
4/3/2025,TAX $EA$ON,Income,,441.00,StarBank 0101,
4/9/2025,Venmo,Utility,,49.00,StarBank 0101,
4/9/2025,Apple Cash,Utility,,99.00,StarBank 0101,
4/16/2025,University of MN,Income,,229.37,StarBank 0101,
4/30/2025,University of MN,Income,,233.15,StarBank 0101,
4/2/2025,Target,Grocery,16.38,,StarBank 0101,
4/3/2025,Target,Misc,3.68,,StarBank 0101,
4/3/2025,StarBank 8343,Loan,211.92,,StarBank 0101,
4/7/2025,Target,Misc,6.25,,StarBank 0101,
4/10/2025,Xcel Energy,Utility,195.74,,StarBank 0101,
4/14/2025,Culvers,Restaurant,20.18,,StarBank 0101,
4/14/2025,University of MN,School,40.00,,StarBank 0101,
4/21/2025,Venmo,Fun,18.00,,StarBank 0101,
4/22/2025,ASPIRE,Loan,75.00,,StarBank 0101,
4/30/2025,ASPIRE,Loan,45.00,,StarBank 0101,
5/4/2025,Target,Grocery,72.61,,Discover 8649,
4/29/2025,Fresh Thyme,Grocery,60.85,,Discover 8649,
4/29/2025,Target,Misc,3.94,,Discover 8649,
4/27/2025,Target,Grocery,61.83,,Discover 8649,
4/26/2025,Target,Grocery,48.36,,Discover 8649,
4/25/2025,Target,Misc,1.41,,Discover 8649,
4/23/2025,Target,Grocery,29.68,,Discover 8649,
4/22/2025,Chipotle,Restaurant,9.05,,Discover 8649,
4/21/2025,Fresh Thyme,Grocery,65.69,,Discover 8649,
4/20/2025,McDonalds,Restaurant,6.32,,Discover 8649,
4/19/2025,Target,Misc,2.82,,Discover 8649,
4/18/2025,Burning Brothers,Fun,30.70,,Discover 8649,
4/18/2025,Target,Misc,4.84,,Discover 8649,
4/16/2025,Target,Grocery,22.10,,Discover 8649,
4/14/2025,Fresh Thyme,Grocery,48.78,,Discover 8649,
4/14/2025,Target,Grocery,37.71,,Discover 8649,
4/13/2025,Chipotle,Restaurant,3.33,,Discover 8649,
4/12/2025,Wholesale,Misc,15.00,,Discover 8649,
4/10/2025,Fresh Thyme,Grocery,51.06,,Discover 8649,
4/8/2025,Chipotle,Restaurant,9.05,,Discover 8649,
4/8/2025,University of MN,Misc,3.75,,Discover 8649,
4/8/2025,Target,Grocery,15.62,,Discover 8649,
4/8/2025,Tripoli,School,20.00,,Discover 8649,
4/6/2025,Burning Brothers,Misc,16.90,,Discover 8649,
4/5/2025,Target,Grocery,20.77,,Discover 8649,
4/5/2025,Walgreens,Misc,6.00,,Discover 8649,
4/4/2025,Target,Grocery,22.60,,Discover 8649,
5/1/2025,Shelby Jackson LLC,Rent,900.00,,StarBank 0101,
5/1/2025,StarBank 8343,Loan,,971.35,StarBank 0101,
5/2/2025,Apple Cash,Utility,,62.00,StarBank 0101,
5/8/2025,Ebay,Income,,106.50,StarBank 0101,
5/9/2025,Venmo,Utility,,31.00,StarBank 0101,
5/13/2025,Ebay,Income,,18.37,StarBank 0101,
5/14/2025,University of MN,Income,,229.37,StarBank 0101,
